Unique_ID,Country,Year,Date,Time,Location,Acc_Type,Colli_Type,Acc_Detail,CauseDetai,Assistance,Offence,Damage,HumanEleme,IceCondit,CrewIceTra,Pollution,Pollu_m3,Pollu_t,Pollu_Type,RespAction,Cargo_Type,Ship1_Name,Sh1_Categ,Sh1_Type,Sh1_Hull,Sh1Size_gt,Sh1Sizedwt,Sh1Draug_m,Cause_Sh1,Pilot_Sh1,Ship2_Name,Sh2_Categ,Sh2_Type,Sh2_Hull,Sh2Size_gt,Sh2Sizedwt,Sh2Draug_m,Cause_Sh2,Pilot_Sh2,Add_Info,Latitude,Longitude,source
1991_0012,,1991.0,1991-11-11,,,Grounding,,,,,,,,,,No,0.0,,,,,See Rose,Other,,,,,,,,,,,,,,,,,,61.367,21.467,HELCOM reporting
1991_0013,,1991.0,1991-11-14,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Docebrisa, Brazil, ELPB4",Cargo,Bulker,,,75594,,,,,,,,,,,,,,54.5,12.0,HELCOM reporting
1991_0014,,1991.0,1991-11-17,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Belchatow, Poland, SQHE",Cargo,Bulker,,,71277,,,,,,,,,,,,,,54.53,11.87,HELCOM reporting
1991_0015,,1991.0,1991-12-01,,,Grounding,,,,,,,,,,No,0.0,,,,,Stb-0670,Other,,,,170,,,,,,,,,,,,,,59.275,23.417,HELCOM reporting
1992_0001,,1992.0,1992-01-01,,,Grounding,,,,,,,,,,No,0.0,,,,,n.i.,Other,,,>150 GRT,,,,,,,,,,,,,,,54.389,10.5,HELCOM reporting
1992_0002,,1992.0,1992-02-01,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Parocean, Myanmar, XYLA",Cargo,Bulker,,,38870,,,,,,,,,,,,,,54.483,11.983,HELCOM reporting
1992_0003,,1992.0,1992-02-27,,,Grounding,,,,,,,,,,No,0.0,,,,,"Fram, FIN",Other,Tug,,,,,,,,,,,,,,,,,60.272,21.94,HELCOM reporting
1992_0004,,1992.0,1992-02-29,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,"SM-PRC-112, Poland",Cargo,Barge,,,"579,64",,,,,,,,,,,,,,54.5,16.5,HELCOM reporting
1992_0005,,1992.0,1992-06-30,,,Other,,,,,,,,,,No,0.0,,,,,Dar-33,Other,,,,15,,,,,,,,,,,,,,54.417,16.133,HELCOM reporting
1992_0006,,1992.0,1992-07-22,,,Grounding,,,,,,,,,,Yes,12.5,,oil,,,"Pamisos, GRE",Other,,,,,,,,,,,,,,,,,,60.638,19.91,HELCOM reporting
1992_0007,,1992.0,1992-08-01,,,Grounding,,,,,,,,,,No,0.0,,,,,"Yacht Sjuyd, USSR",Other,,,,4,,,,,,,,,,,,,,60.191,29.7,HELCOM reporting
1992_0008,,1992.0,1992-09-11,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"STK-1004, Russia, UBEM",Other,River,,,1669,,,,,,,,,,,,,,54.95,12.517,HELCOM reporting
1992_0009,,1992.0,1992-10-22,,,Grounding,,,,,,,,,,Yes,1.0,,oil,,,"Valur, Iceland, TFTF1341",Cargo,Dry cargo,,,945,,,,,,,,,,,,,,60.56,28.74,HELCOM reporting
1992_0010,,1992.0,1992-11-01,,,Other,,Capsize,,,,,,,,Yes,15.0,,oil,,,"Valyr, Norway",Other,,,,2000,,,,,,,,,,,,,,60.625,28.567,HELCOM reporting
1992_0011,,1992.0,1992-11-12,,,Grounding,,,,,,,,,,No,0.0,,,,,"Pan Fortune, South Korea",Cargo,Bunker,,,"19,118",,,,,,,,,,,,,,54.192,18.72,HELCOM reporting
1992_0012,,1992.0,1992-11-26,,,Other,,,,,,,,,,n.i.,0.0,,,,,"Mrz-21, Poland",Other,,,,50,,,,,,,,,,,,,,54.133,15.267,HELCOM reporting
1992_0013,,1992.0,1992-11-28,,,Technical failure,,propeller failure,,,,,,,,Yes,1.25,,oil,,,"Tiksi, SU",Other,,,,,,,,,,,,,,,,,,61.083,21.333,HELCOM reporting
1992_0014,,1992.0,1992-12-01,,,Collision,n.i.,,,,,,,,,Yes,12.5,,oil,,,"Konstantin Tsiolkovski, Russia, UWZB",Tanker,,Single hull,,Br. 10814,,,,,,,,,,,,,,63.333,19.167,HELCOM reporting
1993_0001,,1993.0,1993-01-01,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,n.i.,Other,,,>150 GRT,,,,,,,,,,,,,,,54.516,11.313,HELCOM reporting
1993_0002,,1993.0,1993-03-17,,,Sunk,,wrecked,,,,,,,,n.i.,0.0,,,,,"Madeira, Hong Kong, ZEKJ",Other,Fishing vessel,,,,,,,,,,,,,,,,,54.967,15.233,HELCOM reporting
1993_0003,,1993.0,1993-03-26,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Kari/Vesikko, FIN",Other,,,,168,,,,,,,,,,,,,,60.756,21.18,HELCOM reporting
1993_0004,,1993.0,1993-04-30,,,Grounding,,,,,,,,,,No,0.0,,,,,"Jenny V, PAN",Other,,,,1860,,,,,,,,,,,,,,60.02,26.733,HELCOM reporting
1993_0005,,1993.0,1993-07-05,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Flip, FIN",Other,,,,,,,,,,,,,,,,,,60.25,21.5,HELCOM reporting
1993_0006,,1993.0,1993-08-13,,,Grounding,,,,,,,,,,No,0.0,,,,,"West, FIN",Other,Tug,,,,,,,,,,,,,,,,,60.21,25.76,HELCOM reporting
1993_0007,,1993.0,1993-10-10,,,Grounding,,,,,,,,,,Yes,1703.0,,amonnium phosphate,,,"Frank Michael, Germany, DLED",Cargo,General cargo,,,1880,,,,,,,,,,,,,,58.062,19.363,HELCOM reporting
1993_0008,,1993.0,1993-11-17,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Feeder Team, GER",Other,,,,1028,,,,,,,,,,,,,,60.76,21.209,HELCOM reporting
1993_0009,,1993.0,1993-11-30,,,Sunk,,wrecked,,,,,,,,n.i.,0.0,,,,,"Jesper Hansen, Denmark",Other,Fishing vessel,,,,,,,,,,,,,,,,,54.367,11.583,HELCOM reporting
1993_0010,,1993.0,1993-12-10,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Anna A, OTH",Other,,,,27370,,,,,,,,,,,,,,60.012,21.12,HELCOM reporting
1993_0011,,1993.0,1993-01-16,,,Grounding,,,,,,,,,,Yes,102.5,,oil,,,"Kihnu, Estonia",Tanker,,Single hull,,1621,,,,,,,,,,,,,,59.472,24.636,HELCOM reporting
1993_0012,,1993.0,1993-08-10,,,Collision,n.i.,,,,,,,,,Yes,6.25,,oil,,,"Valaam, Latvia, YLMH",Tanker,,Single hull,,Br. 3463,,,,,,,,,,,,,,55.891,15.943,HELCOM reporting
1993_0013,,1993.0,1993-09-24,,,Grounding,,,,,,,,,,No,0.0,,,,,"Mt Crystal Rubino, ITA",Tanker,,Double hull,,8002,,,,,,,,,,,,,,60.212,26.41,HELCOM reporting
1993_0014,,1993.0,1993-11-16,,,Grounding,,,,,,,,,,No,0.0,,,,,"Mt Ambiorix, GRE",Tanker,,Double hull,,Br. 1772,,,,,,,,,,,,,,61.203,21.288,HELCOM reporting
1994_0001,,1994.0,1994-01-01,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,n.i.,Other,,,>150 GRT,,,,,,,,,,,,,,,54.445,18.647,HELCOM reporting
1994_0002,,1994.0,1994-01-01,,,Grounding,,,,,,,,,,No,0.0,,,,,n.i.,Other,,,>150 GRT,,,,,,,,,,,,,,,54.489,10.137,HELCOM reporting
1994_0003,,1994.0,1994-02-11,,,Other,,,,,,,,,,n.i.,0.0,,,,,"Mrz-9, Poland",Other,,,,8,,,,,,,,,,,,,,54.15,15.3,HELCOM reporting
1994_0004,,1994.0,1994-03-02,,,Physical damage,,ice damage,,,,,,,,Yes,7.5,,oil,,,"Ladoga 12, SU",Other,,,,,,,,,,,,,,,,,,59.88,23.15,HELCOM reporting
1994_0005,,1994.0,1994-03-04,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Sally Albatross, Fin",Other,,,,1630,,,,,,,,,,,,,,59.855,24.176,HELCOM reporting
1994_0006,,1994.0,1994-04-15,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Astrea, FIN",Other,,,,6672,,,,,,,,,,,,,,60.183,25.828,HELCOM reporting
1994_0007,,1994.0,1994-04-18,,,Grounding,,,,,,,,,,No,0.0,,,,,"Phoenix, GER",Other,,,,,,,,,,,,,,,,,,60.237,25.79,HELCOM reporting
1994_0008,,1994.0,1994-04-22,,,Pollution,,oil spill,,,,,,,,Yes,0.0,,oil,,,"UST-4, Ustka, Poland",Other,,,,,,,,,,,,,,,,,,55.217,17.567,HELCOM reporting
1994_0009,,1994.0,1994-07-28,,,Pollution,,during bunkering,,,,,,,,Yes,0.63,,oil,,,Captain Lus,Cargo,Dry cargo,,,4618,,,,,,,,,,,,,,60.7,28.74,HELCOM reporting
1994_0010,,1994.0,1994-08-27,,,Grounding,,,,,,,,,,Yes,0.0,,oil,,,"Park Victory, USA",Other,Wreck,,,,,,,,,,,,,,,,,59.772,21.405,HELCOM reporting
1994_0011,,1994.0,1994-09-01,,,Sunk,,,,,,,,,,n.i.,0.0,,,,,Ruoppaaja,Other,Dredger,,,,,,,,,,,,,,,,,62.5,21.083,HELCOM reporting
1994_0012,,1994.0,1994-09-28,,,Sunk,,,,,,,,,,n.i.,0.0,,,,,"Estonia, EST",Other,,,,3345,,,,,,,,,,,,,,59.321,20.567,HELCOM reporting
1994_0013,,1994.0,1994-10-01,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"KehrwiederII, FIN",Other,,,,,,,,,,,,,,,,,,61.083,21.333,HELCOM reporting
1994_0014,,1994.0,1994-10-13,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Yellow Amber, Cyprus",Cargo,Bulker,,,63789,,,,,,,,,,,,,,54.5,11.933,HELCOM reporting
1994_0015,,1994.0,1994-11-03,,,Physical damage,,hull damage,,,,,,,,No,0.0,,,,,"Marija, Lithuania, LYIA",Other,,,,1652,,,,,,,,,,,,,,55.467,17.567,HELCOM reporting
1994_0016,,1994.0,1994-11-05,,,Other,,run into touch,,,,,,,,No,0.0,,,,,"Baltiyskiy-62, UALF",Cargo,Dry cargo,,,,,,,,,,,,,,,,,54.667,9.933,HELCOM reporting
1994_0017,,1994.0,1994-11-17,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Friedrich Engels, RUS",Other,,,,12652,,,,,,,,,,,,,,61.1,21.183,HELCOM reporting
1994_0018,,1994.0,1994-12-15,,,n.i.,,,,,,,,,,n.i.,0.0,,,,,"Red Hunter, Panama",n.i.,,,,,,,,,,,,,,,,,,54.467,18.867,HELCOM reporting
1995_0001,,1995.0,1995-01-01,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,n.i.,Other,,,>150 GRT,,,,,,,,,,,,,,,54.583,11.167,HELCOM reporting
1995_0002,,1995.0,1995-01-01,,,Grounding,,,,,,,,,,No,0.0,,,,,"Orchik, Estonia, YLIW",Other,Fishing vessel,,,627,,,,,,,,,,,,,,57.783,22.65,HELCOM reporting
1995_0003,,1995.0,1995-01-01,,,Grounding,,,,,,,,,,No,0.0,,,,,"Drava, Latvia, UL2039",Other,Fishing vessel,,,44,,,,,,,,,,,,,,57.4,21.55,HELCOM reporting
1995_0004,,1995.0,1995-01-01,,,Grounding,,,,,,,,,,No,0.0,,,,,n.i.,Other,,,>150 GRT,,,,,,,,,,,,,,,54.313,11.753,HELCOM reporting
1995_0005,,1995.0,1995-01-03,,,Collision,n.i.,,,,,,,,,Yes,8.0,,oil,,,"UST-102, Poland",Other,Fishing vessel,,,102 BR,,,,,,,,,,,,,,54.7,17.0,HELCOM reporting
1995_0006,,1995.0,1995-01-27,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Heike Lehmann, Germany, DKUB",Cargo,Dry cargo,,,3051,,,,,,,,,,,,,,55.26,14.68,HELCOM reporting
1995_0007,,1995.0,1995-01-30,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Fjardvagen, FIN",Other,,,,775,,,,,,,,,,,,,,60.218,21.737,HELCOM reporting
1995_0008,,1995.0,1995-02-08,,,Physical damage,,hull damage,,,,,,,,No,0.0,,,,,"Jurbarkas, Lithuania",Other,,,,2116,,,,,,,,,,,,,,54.717,12.383,HELCOM reporting
1995_0009,,1995.0,1995-03-08,,,Grounding,,,,,,,,,,Yes,81.25,,oil,,,"RO-RO Oihonna, FIN",Other,,,,6061,,,,,,,,,,,,,,60.517,27.083,HELCOM reporting
1995_0010,,1995.0,1995-03-12,,,Grounding,,,,,,,,,,No,0.0,,,,,"Huta Sendzimira, Poland",Cargo,Bulker,,,"35,642",,,,,,,,,,,,,,54.183,14.201,HELCOM reporting
1995_0011,,1995.0,1995-03-13,,,Grounding,,,,,,,,,,Yes,27.5,,oil,,,"Kreva, Lithuania, LTDA",Cargo,General cargo,,,4471,,,,,,,,,,,,,,63.311,19.155,HELCOM reporting
1995_0012,,1995.0,1995-03-13,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Westwind, FIN",Other,,,,1530,,,,,,,,,,,,,,59.845,19.934,HELCOM reporting
1995_0013,,1995.0,1995-03-19,,,Grounding,,,,,,,,,,Yes,1.25,,oil,,,"Transbaltica, CYP",Other,,,,Br. 1224,,,,,,,,,,,,,,60.215,21.705,HELCOM reporting
1995_0014,,1995.0,1995-03-27,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Vasiliy Kovar, Ukraine",Cargo,Bulk carrier,,,,,,,,,,,,,,,,,54.5,12.0,HELCOM reporting
1995_0015,,1995.0,1995-04-22,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Tallink, FIN",Other,,,,948,,,,,,,,,,,,,,60.138,24.95,HELCOM reporting
1995_0016,,1995.0,1995-04-25,,,Pollution,,oil spill,,,,,,,,Yes,0.06,,oil,,,"WLA-67, Wladyslawo, Poland",Other,Fishing vessel,,,,,,,,,,,,,,,,,55.235,18.184,HELCOM reporting
1995_0017,,1995.0,1995-05-10,,,Pollution,,oil spill,,,,,,,,Yes,0.05,,oil,,,"R-218, Denmark",Other,Fishing vessel,,,,,,,,,,,,,,,,,55.317,16.278,HELCOM reporting
1995_0018,,1995.0,1995-05-28,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Oris, GER",Other,,,,Br. 6876,,,,,,,,,,,,,,60.402,26.287,HELCOM reporting
1995_0019,,1995.0,1995-08-04,,,Technical failure,,,,,,,,,,Yes,12.5,,oil,,,"Oden, Sweden, SMLQ",Other,Ice breaker,,,13000,,,,,,,,,,,,,,59.333,18.083,HELCOM reporting
1995_0020,,1995.0,1995-08-17,,,Grounding,,,,,,,,,,Yes,1.25,,oil,,,"Wiebkek, ANT",Other,,,,7800,,,,,,,,,,,,,,59.803,22.883,HELCOM reporting
1995_0021,,1995.0,1995-08-21,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,Ruoppaaja,Other,Dredger,,,,,,,,,,,,,,,,,62.5,21.083,HELCOM reporting
1995_0022,,1995.0,1995-08-25,,,Pollution,,oil spill,,,,,,,,Yes,0.1,,oil,,,"HEL-135, Hel, Poland",Other,Fishing vessel,,,,,,,,,,,,,,,,,55.585,18.975,HELCOM reporting
1995_0023,,1995.0,1995-08-29,,,Other,,run into touch,,,,,,,,No,0.0,,,,,Polesye-9,Cargo,Dry cargo,,,,,,,,,,,,,,,,,54.333,19.75,HELCOM reporting
1995_0024,,1995.0,1995-09-18,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,Amur 2524,Cargo,Dry cargo,,,,,,,,,,,,,,,,,54.667,19.667,HELCOM reporting
1995_0025,,1995.0,1995-10-12,,,Grounding,,,,,,,,,,Yes,250.0,,oil,,,"Hual Trooper, Bahamas, C6NA3",Cargo,Vehicle carrier,,,21414,,,,,,,,,,,,,,55.512,12.755,HELCOM reporting
1995_0026,,1995.0,1995-11-13,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Finnmaster, FIN",Other,,,,6800,,,,,,,,,,,,,,60.476,27.134,HELCOM reporting
1995_0027,,1995.0,1995-02-28,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Mt Lieselotte Essberger, GER",Tanker,,Double hull,,3752,,,,,,,,,,,,,,60.058,20.323,HELCOM reporting
1995_0028,,1995.0,1995-08-24,,,Grounding,,,,,,,,,,No,0.0,,,,,"Mt Volgoneft 245, RUS",Tanker,,Double hull,,4768,,,,,,,,,,,,,,60.206,25.62,HELCOM reporting
1995_0029,,1995.0,1995-10-01,,,Grounding,,,,,,,,,,No,0.0,,,,,Volgo-neft-130,Tanker,,Double hull,,5000,,,,,,,,,,,,,,59.967,26.7,HELCOM reporting
1996_0001,,1996.0,1996-01-01,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,n.i.,Other,,,>150 GRT,,,,,,,,,,,,,,,54.758,13.53,HELCOM reporting
1996_0002,,1996.0,1996-01-01,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,n.i.,Other,,,>150 GRT,,,,,,,,,,,,,,,54.522,12.362,HELCOM reporting
1996_0003,,1996.0,1996-01-01,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,n.i.,Other,,,>150 GRT,,,,,,,,,,,,,,,54.318,12.115,HELCOM reporting
1996_0004,,1996.0,1996-01-02,,,Pollution,,oil spill,,,,,,,,Yes,3.0,,oil,,,"Andronikap, Valetta, Greece",Other,,,,,,,,,,,,,,,,,,54.575,18.942,HELCOM reporting
1996_0005,,1996.0,1996-01-15,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,"Volgo-Balt-32, Russia, UAFD",Cargo,Dry cargo,,Gt. 2426,,,,,,,,,,,,,,,55.7,12.6,HELCOM reporting
1996_0006,,1996.0,1996-01-18,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Draco, DEN",Other,,,,2600,,,,,,,,,,,,,,60.224,21.709,HELCOM reporting
1996_0007,,1996.0,1996-01-30,,,Grounding,,,,,,,,,,No,0.0,,,,,"Holmon, Sweden, SKTP",Cargo,General cargo,,,8200,,,,,,,,,,,,,,58.877,17.72,HELCOM reporting
1996_0008,,1996.0,1996-02-01,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Kol-9, Poland",Other,Fishing vessel,,,,,,,,,,,,,,,,,54.983,15.133,HELCOM reporting
1996_0009,,1996.0,1996-02-02,,,Collision,n.i.,,,,,,,,,No,0.0,,,,,Chelekenskiy,Cargo,Refrigerator,,,,,,,,,,,,,,,,,60.0,25.0,HELCOM reporting
1996_0010,,1996.0,1996-02-13,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,"Gitte, Germany, DFCU",Other,Fishing vessel,,,,,,,,,,,,,,,,,54.5,12.0,HELCOM reporting
1996_0011,,1996.0,1996-02-18,,,Grounding,,,,,,,,,,n.i.,0.0,,,,,Rostok Link,Passenger,Ferry,,,,,,,,,,,,,,,,,54.567,11.983,HELCOM reporting
1996_0012,,1996.0,1996-02-23,,,Technical failure,,,,,,,,,,Yes,0.1,,oil,,,"Nora, Sweden, SMQV",Passenger,Ferry,,,Br. 241,,,,,,,,,,,,,,62.8,17.95,HELCOM reporting
